episode,timestep,reward
1,400,-8396538.880663
3,800,-16000354.264325
5,1200,-23147253.196613
7,1600,-27259954.500713
9,2000,-34076608.792051
11,2400,-37397123.191960
13,2800,-38467590.307692
15,3200,-37055350.102828
17,3600,-36605330.500913
19,4000,-36526136.144212
21,4400,-36487228.564535
23,4800,-36487045.727582
25,5200,-36220573.716837
27,5600,-36108369.847000
29,6000,-36074183.232636
31,6400,-35996513.389418
33,6800,-35533000.840144
35,7200,-35303821.251385
37,7600,-35160492.994447
39,8000,-35113838.849605
41,8400,-35113790.909212
43,8800,-34959801.620026
45,9200,-34808468.159897
47,9600,-34762699.757439
49,10000,-34760208.561840
51,10400,-34760048.298109
53,10800,-34654726.523510
55,11200,-34372907.024482
57,11600,-34332098.800684
59,12000,-34328138.716094
61,12400,-34302593.284935
63,12800,-34245859.622205
65,13200,-34245859.622205
67,13600,-34245859.622205
69,14000,-34245859.649222
71,14400,-34239615.677521
73,14800,-33987771.648344
75,15200,-33783953.117989
77,15600,-33770392.567210
79,16000,-33770332.703526
81,16400,-33762176.054474
83,16800,-33557237.001981
85,17200,-33400228.313540
87,17600,-33394243.864770
89,18000,-33388727.669415
91,18400,-33380710.865737
93,18800,-33369942.816683
95,19200,-33188953.185429
97,19600,-32891543.843775
99,20000,-32883366.777437
