episode,timestep,reward
1,400,-5154481.861114
3,800,-5396639.990792
5,1200,-5694283.321311
7,1600,-5388869.313894
9,2000,-4278594.170878
11,2400,-5905112.334765
13,2800,-5960158.133542
15,3200,-5911139.192711
17,3600,-5847831.556847
19,4000,-5473169.711417
21,4400,-5379440.411164
23,4800,-5375856.274337
25,5200,-5364163.089036
27,5600,-5344538.302768
29,6000,-5139982.684400
31,6400,-5093771.306388
33,6800,-5065874.875614
35,7200,-5051010.234479
37,7600,-5036263.731029
39,8000,-4930236.641540
41,8400,-4885243.654878
43,8800,-4876208.972911
45,9200,-4873113.380854
47,9600,-4857485.552262
49,10000,-4615386.634321
51,10400,-4567183.470286
53,10800,-4576903.004618
55,11200,-4570664.382369
57,11600,-4557550.922048
59,12000,-4483898.713900
61,12400,-4468865.146659
63,12800,-4465275.491041
65,13200,-4454011.545789
67,13600,-4448756.417159
69,14000,-4375177.894235
71,14400,-4336639.691127
73,14800,-4336516.641415
75,15200,-4330545.013913
77,15600,-4327708.749479
79,16000,-4291591.140812
81,16400,-4255900.620149
83,16800,-4254198.969448
85,17200,-4251414.300741
87,17600,-4250716.519341
89,18000,-4249481.947068
91,18400,-4240862.439988
93,18800,-4240617.327556
95,19200,-4240376.178968
97,19600,-4237909.220168
99,20000,-4191631.271884
