episode,timestep,reward
1,400,-7409459.981985
3,800,-35488566.058125
5,1200,-107001147.866165
7,1600,-197969371.572075
9,2000,-231152589.726472
11,2400,-254728294.628084
13,2800,-242838120.401715
15,3200,-214095614.604711
17,3600,-201280050.815518
19,4000,-200905598.279323
21,4400,-200594862.936068
23,4800,-198499145.025848
25,5200,-194185142.495305
27,5600,-192280449.714733
29,6000,-192190539.900687
31,6400,-192145728.801188
33,6800,-189863495.933463
35,7200,-185350864.534567
37,7600,-180867164.844695
39,8000,-180711378.474827
41,8400,-180639088.413334
43,8800,-180598252.742457
45,9200,-180598252.742457
47,9600,-180598252.742457
49,10000,-180598252.742457
51,10400,-180598252.742457
53,10800,-180598252.742457
55,11200,-180598252.742457
57,11600,-180598252.742457
59,12000,-180598252.742457
61,12400,-180598252.742457
63,12800,-180598252.742457
65,13200,-180598252.742457
67,13600,-180598252.742457
69,14000,-180598252.742457
71,14400,-180598252.742457
73,14800,-180598252.742457
75,15200,-180598252.742457
77,15600,-180598252.742457
79,16000,-180598252.742457
81,16400,-180598252.742457
83,16800,-180598252.742457
85,17200,-180598252.742457
87,17600,-180598252.742457
89,18000,-180598252.742457
91,18400,-180598252.742457
93,18800,-180598252.742457
95,19200,-180598252.742457
97,19600,-180598252.742457
99,20000,-180598252.742457
