episode,timestep,reward
1,400,-4601610.608565
3,800,-31127720.521210
5,1200,-130856767.372805
7,1600,-265525264.327803
9,2000,-370807238.296885
11,2400,-418249411.823609
13,2800,-385015828.777064
15,3200,-351352496.235626
17,3600,-346164600.814544
19,4000,-346064493.891755
21,4400,-344581406.245243
23,4800,-311855814.704798
25,5200,-294554476.970672
27,5600,-292245797.364693
29,6000,-292141930.206669
31,6400,-289771088.217477
33,6800,-268721896.945612
35,7200,-241211520.909443
37,7600,-237757643.148644
39,8000,-237658694.781677
41,8400,-236169274.773456
43,8800,-218272017.934473
45,9200,-211075679.744616
47,9600,-210346438.486658
49,10000,-210346891.328532
51,10400,-208972796.669904
53,10800,-190920129.961098
55,11200,-179997432.341212
57,11600,-184179828.432436
59,12000,-192749537.928230
61,12400,-196599190.277861
63,12800,-189617850.957622
65,13200,-203037102.682422
67,13600,-271904967.264948
69,14000,-325762080.592747
71,14400,-353810196.855534
73,14800,-355388225.178017
75,15200,-346450236.523377
77,15600,-344464365.684625
79,16000,-344185454.763096
81,16400,-343478181.253509
83,16800,-339252100.412474
85,17200,-338247587.225514
87,17600,-337992017.169951
89,18000,-337729224.053789
91,18400,-337717639.501739
93,18800,-337669768.561886
95,19200,-337667152.138183
97,19600,-337436142.980570
99,20000,-337333793.570036
